Diet,Fold Change HF/CD,CD,HF
Mblac2,0.000860379,5.970741,5.971
Cox7c,0.001029798,18.58019,18.5805
Gm1647,0.001076305,3.710926,3.71125
R3hdm1,0.001076305,9.375926,9.37625
Dab2ip,0.001106202,6.671667,6.672
Gm13139,0.001169319,7.648148,7.6485
Dmbx1,0.001262333,3.58537,3.58575
l7Rn6,0.001262333,9.81537,9.81575
Olfr403,0.00129223,4.471111,4.4715
Plch2,0.00129223,4.311111,4.3115
Gm3233,0.001322127,4.786852,4.78725
Fibcd1,0.001352025,4.502593,4.503
Hrh1,0.001508155,4.466296,4.46675
Moxd2,0.00156795,3.457778,3.45825
Olfr750,0.001660964,3.12,3.1205
Gm17402,0.001727403,13.74648,13.747
Pak7,0.001846992,5.239444,5.24
Krt32,0.001876889,3.575185,3.57575
Golph3l,0.001999801,6.723148,6.72375
Phkb,0.002026376,10.01389,10.0145
Olfr631,0.002305418,3.190556,3.19125
Gm7511,0.002368535,4.632037,4.63275
Mamdc4,0.002398432,5.967778,5.9685
Hist1h2ac,0.002767166,7.351667,7.3525
Ddx4,0.002953194,3.541111,3.542
Pmpca,0.002989735,10.95685,10.95775
Homer1,0.003076105,7.044074,7.045
Clca3a1,0.003106003,8.174815,8.17575
Kcnt1,0.0031359,4.850556,4.8515
Gm7647,0.003258811,5.558519,5.5595
Gpc3,0.003258811,3.628519,3.6295
Gm15440,0.003567751,5.255926,5.257
Gm9839,0.003660765,4.863148,4.86425
Hey1,0.003660765,5.703148,5.70425
Gm8922,0.003690662,4.453889,4.455
Atp6v0a2,0.003720559,8.03463,8.03575
Pth,0.003720559,3.94963,3.95075
Mknk1,0.00387669,7.008333,7.0095
Adarb1,0.003936485,8.219815,8.221
Grin2b,0.003936485,4.379815,4.381
Ptp4a2,0.003953094,14.68556,14.68675
Ranbp3l,0.003966382,6.825556,6.82675
Gbx1,0.004059396,3.507778,3.509
Mfsd9,0.004059396,5.412778,5.414
Bnipl,0.00415241,4.775,4.77625
Cd2ap,0.00415241,9.07,9.07125
Ebi3,0.00415241,5.4,5.40125
Noxo1,0.004245424,5.882222,5.8835
Ccdc170,0.004305219,3.763704,3.765
Gm9844,0.004398233,9.975926,9.97725
Olfr1121,0.004398233,3.940926,3.94225
Olfr218,0.004461349,3.597407,3.59875
Dhx37,0.004521144,6.303889,6.30525
B4galnt4,0.004644055,3.796852,3.79825
Orc4,0.004673953,9.167593,9.169
Glipr1l3,0.004707172,4.298333,4.29975
Gm17409,0.004859981,4.552037,4.5535
Larp7,0.004919776,7.983519,7.985
Ccdc62,0.004982892,3.565,3.5665
Gm21118,0.005012789,3.615741,3.61725
Elof1,0.005148989,10.0237,10.02525
Foxb1,0.00516892,3.664444,3.666
Mtap6,0.005198817,4.840185,4.84175
Olfr520,0.005258612,3.796667,3.79825
Pthlh,0.005258612,4.236667,4.23825
Lao1,0.005321729,5.748148,5.74975
Mrpl3,0.005321729,8.438148,8.43975
Arxes1,0.00544464,3.331111,3.33275
Cdo1,0.005447962,18.22611,18.22775
Atp6v1h,0.005567551,9.664074,9.66575
D6Wsu163e,0.005567551,7.419074,7.42075
Arpc5,0.005614058,10.76556,10.76725
Mcl1,0.005746936,11.33352,11.33525
Myo15b,0.005843272,4.665741,4.6675
Enpp1,0.005913032,10.10722,10.109
Erc1,0.005936286,7.712963,7.71475
Grm6,0.006059197,4.560926,4.56275
Eef2,0.006212006,16.72463,16.7265
Exoc7,0.00630502,7.001852,7.00375
Ngdn,0.00630502,6.591852,6.59375
Lxn,0.006398034,6.429074,6.431
Pmepa1,0.006520945,6.242037,6.244
Flywch1,0.006829884,6.524444,6.5265
Mbtps1,0.006889679,8.845926,8.848
Cdh9,0.006919576,4.191667,4.19375
Gm16430,0.006919576,3.786667,3.78875
Myoz1,0.006919576,4.771667,4.77375
Gm10153,0.006982693,4.873148,4.87525
Mtss1l,0.006982693,6.043148,6.04525
Olfr478,0.00701259,3.703889,3.706
Ptprh,0.00701259,3.553889,3.556
Ache,0.007042488,4.59963,4.60175
Kcnrg,0.007075707,4.62537,4.6275
Prrx2,0.007198618,4.383333,4.3855
Bod1,0.007258413,8.784815,8.787
Ptrh2,0.007258413,8.299815,8.302
Dhodh,0.00728831,7.805556,7.80775
Cxcl17,0.007351427,5.272037,5.27425
Lin52,0.007381324,7.312778,7.315
Gdi1,0.007411222,9.963519,9.96575
Magea3,0.007504236,4.560741,4.563
Gm3448,0.007660366,5.089444,5.09175
Elavl3,0.007690264,4.480185,4.4825
Krt16,0.007690264,5.050185,5.0525
Prss22,0.007690264,3.280185,3.2825
Galnt9,0.007783278,4.327407,4.32975
Metap1,0.007783278,8.662407,8.66475
Cpm,0.007813175,5.988148,5.9905
Pdcd5,0.00783975,10.73889,10.74125
LOC100861707,0.007843072,4.768889,4.77125
Hrsp12,0.008171943,17.77204,17.7745
Ipo9,0.008334718,8.375741,8.37825
Fam70a,0.008367937,4.361481,4.364
Appl2,0.008490848,8.599444,8.602
Gsdma,0.008736671,4.71037,4.713
Gabra2,0.008826363,4.152593,4.15525
Gm8374,0.008982494,4.371296,4.374
Gm11937,0.009198419,4.631481,4.63425
Exd2,0.009228316,6.607222,6.61
Acot2,0.00923496,11.01722,11.02
Pkmyt1,0.009288111,6.418704,6.4215
Ccdc127,0.009504036,9.923889,9.92675
LOC100862066,0.009626948,4.461852,4.46475
Hist3h2bb.ps,0.009656845,4.887593,4.8905
Gm9602,0.009749859,5.134815,5.13775
Olfr735,0.009842873,3.332037,3.335
Olfr924,0.009902668,4.408519,4.4115
OTTMUSG00000003606,0.009902668,3.373519,3.3765
Bcl2a1c,0.009935887,5.109259,5.11225
Abpe,0.009995682,3.840741,3.84375
Itgbl1,0.010058798,3.712222,3.71525
Bmp15,0.010088696,4.697963,4.701
Fbrsl1,0.010118593,7.338704,7.34175
Olfr1,0.010151812,5.479444,5.4825
Fscn2,0.01018171,3.040185,3.04325
Olfr704,0.010211607,2.715926,2.719
H2afb2,0.010241504,4.716667,4.71975
Ccdc115,0.010334518,5.543889,5.547
Muc20,0.010334518,5.458889,5.462
Nol9,0.010334518,7.893889,7.897
Gm17606,0.010427532,9.726111,9.72925
Cisd1,0.010464073,13.78185,13.785
Kiss1r,0.010520546,4.368333,4.3715
Ndufb11,0.010563731,10.87907,10.88225
Pate2,0.010580341,5.644815,5.648
Higd1c,0.010673355,4.462037,4.46525
Pyroxd1,0.010673355,8.852037,8.85525
Mettl14,0.010703252,6.887778,6.891
Ptpn11,0.010703252,7.557778,7.561
Gm5849,0.010949075,4.028704,4.032
Gm6821,0.011012192,5.530185,5.5335
Olfr910,0.011012192,4.675185,4.6785
Dnali1,0.011042089,5.970926,5.97425
Edc3,0.011042089,7.960926,7.96425
Gm8801,0.011228117,5.38037,5.38375
Il12rb1,0.011351028,4.053333,4.05675
Map2k4,0.01147394,6.901296,6.90475
Btbd19,0.011503837,6.507037,6.5105
Gm973,0.011503837,4.067037,4.0705
Hbb.bh1,0.011503837,5.237037,5.2405
Gm10354,0.011533734,7.512778,7.51625
Dld,0.011726406,12.90722,12.91075
B3galt4,0.01174966,5.452963,5.4565
Fbxo8,0.011792845,12.7287,12.73225
Nfxl1,0.011842674,5.615185,5.61875
Prss41,0.011842674,2.845185,2.84875
Gm14632,0.011872571,4.935926,4.9395
Gpr123,0.011935688,4.257407,4.261
Dmrtc1c2,0.011965585,3.753148,3.75675
Magee1,0.011995482,3.323889,3.3275
Fbxo45,0.01202538,6.12963,6.13325
Krtap1.3,0.012088496,4.411111,4.41475
Raf1,0.012125038,11.63685,11.6405
Dopey2,0.012148291,8.497593,8.50125
Lrrn2,0.012148291,7.527593,7.53125
Grem1,0.01218151,3.138333,3.142
Grik1,0.012211408,4.769074,4.77275
Lama5,0.012211408,3.459074,3.46275
Mrps31,0.012211408,9.399074,9.40275
Olfr1420,0.012241305,3.514815,3.5185
Cd8a,0.012304422,5.361296,5.365
Pgm2l1,0.012304422,6.156296,6.16
Arl5a,0.012324353,11.18704,11.19075
Mphosph8,0.012394114,7.483519,7.48725
Klra6,0.012550244,3.822222,3.826
Pcdhb16,0.012580142,3.747963,3.75175
Hk2,0.01273295,5.121667,5.1255
Angel2,0.012855862,8.53463,8.5385
Dnajb8,0.012855862,4.87463,4.8785
Pom121l12,0.012855862,3.43463,3.4385
Gm10509,0.012978773,7.297593,7.3015
Gm20806.2,0.012978773,4.887593,4.8915
Naa30,0.01304189,7.999074,8.003
Nmrk2,0.01304189,3.204074,3.208
Kif12,0.013071787,5.349815,5.35375
Ccdc24,0.013101684,4.770556,4.7745
Btbd8,0.013194698,4.907778,4.91175
H2afb1,0.013257815,4.574259,4.57825
Mrps10,0.013410624,9.177963,9.182
Prkab1,0.013410624,9.902963,9.907
Mt4,0.013440521,6.308704,6.31275
Gnpat,0.01347374,9.849444,9.8535
Olfr137,0.01347374,4.999444,5.0035
Mrps18c,0.013503638,9.200185,9.20425
Gm5347,0.013626549,3.213148,3.21725
Htr3b,0.01374946,3.896111,3.90025
Gm8879,0.013842474,4.403333,4.4075
Capns2,0.013902269,3.424815,3.429
Dlg5,0.013902269,4.764815,4.769
Hist1h3c,0.013965386,7.071296,7.0755
Plekhj1,0.013965386,9.801296,9.8055
Pax9,0.014118194,4.93,4.93425
Ism1,0.014148092,4.365741,4.37
Nprl3,0.014148092,6.770741,6.775
Lhfp,0.014181311,5.496481,5.50075
Lypd3,0.014181311,5.811481,5.81575
Mnt,0.014181311,4.996481,5.00075
Krtap4.2,0.014211208,6.367222,6.3715
Kcnk15,0.014486928,4.608889,4.61325
Cnnm2,0.014516826,6.63963,6.644
Csf3,0.014672956,4.813333,4.81775
Mxd3,0.014732751,4.254815,4.25925
Pcgf5,0.014732751,8.504815,8.50925
Klk1b1,0.014855662,3.422778,3.42725
Notum,0.014855662,7.632778,7.63725
Foxf2,0.014918779,2.864259,2.86875
Flot1,0.014978574,9.150741,9.15525
Ccl4,0.015194499,6.555926,6.5605
Olfr917,0.015224396,3.676667,3.68125
Krtap9.3,0.015287513,5.033148,5.03775
Npnt,0.01531741,4.068889,4.0735
G6pd2,0.015440322,4.596852,4.6015
Gm15127,0.015470219,4.797593,4.80225
Esyt2,0.015533336,8.144074,8.14875
Cacna2d3,0.015563233,4.109815,4.1145
Fam65a,0.015563233,6.544815,6.5495
Isx,0.015563233,4.884815,4.8895
Gm3213,0.015686144,5.537778,5.5425
Gnai1,0.015686144,6.552778,6.5575
Atoh1,0.015809056,2.845741,2.8505
Ifna2,0.015931967,4.483704,4.4885
Mgat4b,0.015965186,6.704444,6.70925
Pam16,0.015978474,11.69019,11.695
Gm14725,0.015995084,3.865185,3.87
Il22ra2,0.015995084,3.500185,3.505
Gm10621,0.016088098,4.327407,4.33225
Dnahc6,0.016211009,2.85037,2.85525
Ccdc42,0.016270804,4.221852,4.22675
Pde3a,0.016270804,8.666852,8.67175
Olfr1330,0.01633392,3.108333,3.11325
Olfr480,0.01633392,3.118333,3.12325
Mib2,0.016393715,5.869815,5.87475
Ngly1,0.016393715,6.984815,6.98975
Cd200,0.016579743,5.649259,5.65425
Dnah7c,0.01660964,4.295,4.3
Arhgef15,0.016672757,5.741481,5.7465
Kcna1,0.016672757,4.776481,4.7815
Gm3636,0.016762449,4.453704,4.45875
Lrrtm1,0.016855463,3.810926,3.816
Il17re,0.016948477,4.148148,4.15325
Erich2,0.016978374,3.978889,3.984
Gm11166,0.017008272,4.65963,4.66475
Dync1i2,0.017071388,9.681111,9.68625
Krt31,0.017071388,3.981111,3.98625
Oas2,0.017071388,4.891111,4.89625
Myh2,0.017164402,6.173333,6.1785
Il10rb,0.017224197,8.434815,8.44
Mrgprd,0.017224197,2.664815,2.67
Ccdc112,0.017287314,5.236296,5.2415
Lpcat2b,0.017287314,4.516296,4.5215
Gm11077,0.017347109,5.517778,5.523
Fkbp3,0.017406903,10.46426,10.4695
Orc3,0.017406903,11.12926,11.1345
Gpr63,0.017410225,4.509259,4.5145
Pvrl1,0.017410225,7.349259,7.3545
Adamtsl5,0.017440122,5.05,5.05525
Gm3512,0.01747002,5.535741,5.541
Olfr504,0.017503239,4.621481,4.62675
Klrd1,0.017533136,4.092222,4.0975
Myadml2,0.017592931,3.928704,3.934
Ankrd1,0.01762615,5.469444,5.47475
Mocs1,0.017739096,13.47241,13.47775
Fstl5,0.017808857,5.383889,5.38925
Adamts20,0.017838754,5.40463,5.41
Kcne1,0.017838754,3.36963,3.375
Lsm5,0.017901871,4.176111,4.1815
Hdgf,0.01803807,11.54907,11.5545
Galr2,0.018117796,3.526296,3.53175
Ncoa7,0.018207488,4.408519,4.414
Rab40c,0.018300502,6.305741,6.31125
Gja4,0.018333721,5.766481,5.772
Ldlrad2,0.018393516,4.487963,4.4935
Olfr1411,0.018423413,3.738704,3.74425
Ccdc66,0.018456632,7.064444,7.07
Gm26661,0.018456632,4.459444,4.465
Rab5c,0.018456632,9.299444,9.305
Hapln3,0.018516427,5.030926,5.0365
Nes,0.018546325,4.481667,4.48725
Psg19,0.018639339,5.243889,5.2495
Cggbp1,0.018669236,6.90463,6.91025
D17Wsu92e,0.018702455,11.87537,11.881
Lpcat1,0.01876225,5.616852,5.6225
Olfr806,0.01876225,4.521852,4.5275
Defb50,0.018855264,4.329074,4.33475
Olfr1029,0.019008073,4.512778,4.5185
Frmd8,0.019071189,7.464259,7.47
Gsk3a,0.019071189,9.499259,9.505
Adcy2,0.019194101,3.727222,3.733
Bzrap1,0.019194101,5.527222,5.533
Ctsq,0.019253895,4.708704,4.7145
Anks6,0.019287115,4.629444,4.63525
Flg2,0.019287115,4.439444,4.44525
Olfr855,0.019317012,5.370185,5.376
Gm17428,0.019366841,11.53167,11.5375
Chrnb3,0.019469821,3.008889,3.01475
Nup37,0.019499718,8.53463,8.5405
Olfr1290,0.019532937,3.42537,3.43125
Ipp,0.019562835,6.061111,6.067
Dsg4,0.019655849,3.868333,3.87425
Aox3l1,0.019685746,4.079074,4.085
Ccm2,0.019838555,9.257778,9.26375
Crkl,0.019838555,9.677778,9.68375
AI413782,0.019961466,4.100741,4.10675
Ipo8,0.019994685,7.691481,7.6975
Map4k3,0.02005448,8.177963,8.184
Kctd19,0.020117597,4.209444,4.2155
Alk,0.020147494,4.285185,4.29125
Pom121l2,0.020147494,4.940185,4.94625
Pglyrp4,0.020177391,4.785926,4.792
Csrp2,0.0203302,9.37963,9.38575
Olfr955,0.0203302,4.01463,4.02075
Olfr141,0.020393317,4.381111,4.38725
Gm14443,0.020453111,8.077593,8.08375
Olfr1032,0.020576023,4.715556,4.72175
Fbxo15,0.020639139,3.837037,3.84325
Dixdc1,0.020732153,5.999259,6.0055
Ldhc,0.020791948,3.325741,3.332
Plekhg4,0.020855065,5.577222,5.5835
Ndp,0.020948079,4.064444,4.07075
Gm9979,0.021037771,4.126667,4.133
Letmd1,0.021037771,9.341667,9.348
Prol1,0.021130785,5.148889,5.15525
Mrpl13,0.021393217,10.66481,10.67125
Psmc6,0.021393217,10.61556,10.622
Olfr281,0.021439724,3.481296,3.48775
Nupl2,0.021529416,7.028519,7.035
Psg25,0.02162243,4.565741,4.57225
Mtif3,0.021715444,8.697963,8.7045
Mapk13,0.021778561,4.389444,4.396
Emp3,0.021791848,10.78019,10.78675
Nde1,0.021808458,6.825185,6.83175
Gm10684,0.021838355,4.550926,4.5575
Gm4567,0.021868253,5.011667,5.01825
Gm4567.1,0.021868253,5.011667,5.01825
LOC100504725,0.021868253,3.596667,3.60325
Gm9903,0.021901472,4.437407,4.444
Kcnc4,0.021961267,3.898889,3.9055
Hr,0.022114075,4.762593,4.76925
Mrpl9,0.022207089,8.219815,8.2265
Defa26,0.022270206,4.526296,4.533
Olfr869,0.022486131,3.691481,3.69825
Olfr596,0.022575823,5.063704,5.0705
Fam20b,0.022609043,8.894444,8.90125
Gpr132,0.022761851,5.143148,5.15
Gm19924,0.022854865,6.27537,6.28225
Gm5460,0.022944557,2.957593,2.9645
Cxcr1,0.023007674,4.074074,4.081
Katna1,0.023100688,7.316296,7.32325
Ovch2,0.02319038,3.693519,3.7005
Olfr958,0.023346511,4.767222,4.77425
Purg,0.023346511,5.332222,5.33925
Nr2c1,0.023376408,8.737963,8.745
Olfr1166,0.023499319,4.400926,4.408
Gm11143,0.023562436,4.032407,4.0395
Olfr328,0.023652128,5.13463,5.14175
Fxr1,0.023808259,9.973333,9.9805
Mapk6,0.023897951,8.060556,8.06775
Gtf3c4,0.023990965,6.787778,6.795
Olfr678,0.023990965,3.217778,3.225
Clnk,0.024020862,3.583519,3.59075
Iqca,0.024113876,3.660741,3.668
Prph,0.024147095,3.941481,3.94875
Nat14,0.024176993,3.957222,3.9645
Mylk4,0.024422815,4.643148,4.6505
Opcml,0.024515829,4.77037,4.77775
Cst12,0.024545727,3.826111,3.8335
Gm13043,0.024545727,3.936111,3.9435
Gm128,0.024575624,3.951852,3.95925
Flywch2,0.024698535,6.819815,6.82725
AI429214,0.024728433,4.830556,4.838
BC049635,0.024914461,3.85,3.8575
Gm3837,0.024977577,9.356481,9.364
Egr1,0.025007475,9.042222,9.04975
Gm15456,0.025067269,3.648704,3.65625
Gm11565,0.025100489,3.444444,3.452
Gm839,0.025100489,3.939444,3.947
Gm608,0.025130386,8.860185,8.86775
Pofut1,0.025130386,4.875185,4.88275
Ddx43,0.025160283,4.115926,4.1235
Gm1140,0.025406106,3.716852,3.7245
Olfr1014,0.025436003,4.202593,4.21025
Cypt15,0.02549912,3.924074,3.93175
Msc,0.02549912,4.309074,4.31675
Kctd16,0.025529017,6.319815,6.3275
Cwc27,0.025578846,11.5563,11.564
Ccer2,0.025622031,5.037037,5.04475
Barx2,0.025681826,5.148519,5.15625
Galntl2,0.025744943,4.66,4.66775
Defb47,0.025930971,3.924444,3.93225
IFFO2,0.026020663,8.361667,8.3695
Fbxo25,0.026053882,6.362407,6.37025
BC088983,0.026113677,4.773889,4.78175
Olfr224,0.026143574,4.09463,4.1025
Ppp1r15b,0.026143574,9.34463,9.3525
Cstad,0.026236588,3.746852,3.75475
Ifnl3,0.026329602,5.414074,5.422
Ncln,0.026329602,9.994074,10.002
Gm10563,0.026359499,8.924815,8.93275
Hax1,0.026452513,8.502037,8.51
Krt42,0.026545527,5.214259,5.22225
Gucy1b2,0.026575425,3.995,4.003
Lhfpl4,0.026575425,5.32,5.328
Ccdc159,0.026605322,7.215741,7.22375
Olfr324,0.02679135,3.565185,3.57325
Ccdc59,0.026821247,9.840926,9.849
Gjd2,0.026914261,4.243148,4.25125
Gm2897,0.026914261,5.573148,5.58125
Cldn26,0.026974056,3.99463,4.00275
Liph,0.027037173,3.416111,3.42425
Nacad,0.02706707,4.716852,4.725
Gm9999,0.027130187,5.863333,5.8715
Insl6,0.027219879,4.290556,4.29875
Klk14,0.027219879,4.590556,4.59875
Olfr985,0.027435804,5.165741,5.174
Defb21,0.027469023,3.836481,3.84475
Fbxo16,0.027498921,3.442222,3.4505
Gm11758,0.027528818,4.982963,4.99125
Gm13871,0.027528818,4.982963,4.99125
Hexdc,0.027558715,5.838704,5.847
Lad1,0.027591935,6.334444,6.34275
Gsx2,0.027714846,4.777407,4.78575
AI836003,0.027804538,4.06463,4.073
Calml4,0.027837757,5.57037,5.57875
Nudt4,0.027870977,13.59611,13.6045
Pfdn4,0.027990566,7.179074,7.1875
Olfr1392,0.028050361,4.355556,4.364
Gm11992,0.02808358,4.826296,4.83475
Adra1d,0.028236389,4.065,4.0735
Cadm2,0.028236389,4.34,4.3485
Nfkb2,0.028266286,5.440741,5.44925
Gm19607,0.0283593,4.627963,4.6365
Ino80b,0.0283593,6.197963,6.2065
Ica1l,0.028389197,5.253704,5.26225
Gm9982,0.028422417,4.504444,4.513
Olfr628,0.028512109,3.671667,3.68025
Adamts9,0.028545328,4.952407,4.961
Olfr683,0.028605123,4.443889,4.4525
Krba1,0.02863502,5.31463,5.32325
Ftl1,0.028668239,17.99537,18.004
Glrx3,0.028734678,10.75185,10.7605
Hmgcr,0.028801117,12.50333,12.512
Fgf8,0.028850946,4.239815,4.2485
Brs3,0.028943959,3.232037,3.24075
Fam168b,0.028943959,9.877037,9.88575
Psd3,0.028973857,8.802778,8.8115
Nmral1,0.029036973,4.824259,4.833
Bsn,0.029252899,3.414444,3.42325
Gta1L,0.029312694,4.805926,4.81475
Mybph,0.029312694,4.885926,4.89475
Gm6613,0.02937581,6.577407,6.58625
Eid2b,0.029435605,4.788889,4.79775
Olfr1511,0.029498721,4.32037,4.32925
Ppm1k,0.029498721,11.27537,11.28425
Lama2,0.029528619,3.966111,3.975
Mroh2b,0.029528619,4.291111,4.3
Ccdc135,0.029621633,4.003333,4.01225
Prss57,0.029681428,3.759815,3.76875
Pcdhb21,0.029711325,3.915556,3.9245
Plekhb2,0.029744544,7.456296,7.46525
AU016765,0.029774442,4.207037,4.216
Prnd,0.029804339,4.077778,4.08675
Daaf5,0.029897353,5.455,5.464
Ap1b1,0.02992725,9.435741,9.44475
Gm9573,0.029990367,4.477222,4.48625
Atg16l1,0.030020264,7.312963,7.322
Ascc2,0.030083381,7.804444,7.8135
Rab3d,0.030083381,5.269444,5.2785
Pou3f2,0.030173073,4.146667,4.15575
Olfr623,0.030206292,4.182407,4.1915
Lrp1,0.030262765,13.32889,13.338
Dynlrb2,0.030329204,4.22037,4.2295
Pvrl2,0.030388998,9.061852,9.071
Flt4,0.030604924,6.707037,6.71625
Il25,0.030697938,2.774259,2.7835
Pigl,0.03094376,6.235185,6.2445
Cdyl2,0.030973658,5.595926,5.60525
Gm21364,0.031003555,4.986667,4.996
Gm11110,0.031036774,4.462407,4.47175
Dao,0.031096569,5.183889,5.19325
Panx2,0.031159686,4.23037,4.23975
Gm13150,0.031189583,5.161111,5.1705
Gm12824,0.031249378,4.942593,4.952
Lcn12,0.031342392,4.194815,4.20425
Etv5,0.031372289,8.045556,8.055
Ppp2ca,0.03139222,13.0463,13.05575
Ralgds,0.031435406,6.017037,6.0265
Gm20871.1,0.031465303,4.532778,4.54225
Pldn,0.031465303,7.407778,7.41725
ND2,0.031525098,17.52926,17.53875
Gpr115,0.03180414,4.195926,4.2055
Efcab5,0.031867256,3.232407,3.242
Dgkb,0.031990168,4.47537,4.485
Gm13821,0.03207986,7.427593,7.43725
Pcsk2,0.032172874,5.704815,5.7145
Il15ra,0.032202771,8.860556,8.87025
Lbhd1,0.032255922,11.04704,11.05675
Fut1,0.032265888,3.732037,3.74175
Fam120c,0.032541608,6.578704,6.5885
Cnksr1,0.032604724,3.070185,3.08
Cdk5r1,0.032634622,6.140926,6.15075
Oit1,0.03278743,4.80463,4.8145
Gm2174,0.032850547,6.526111,6.536
Dub1a,0.033003356,4.414815,4.42475
Galnt5,0.033066472,4.106296,4.11625
Bloc1s3,0.033156164,8.168519,8.1785
Mamstr,0.033189384,4.399259,4.40925
Gad1,0.033312295,3.737222,3.74725
Phlpp1,0.033495001,8.131667,8.14175
Gm1564,0.033558118,4.783148,4.79325
Aifm3,0.033617912,4.69463,4.70475
Cul9,0.033651132,5.18537,5.1955
Olfr645,0.033681029,4.431111,4.44125
Pigv,0.033774043,6.938333,6.9485
Foxd2,0.033896954,3.401296,3.4115
Ccdc157,0.033926852,4.952037,4.96225
Eaf1,0.033956749,8.437778,8.448
Dkk4,0.033986646,2.573519,2.58375
Pet2,0.034049763,3.215,3.22525
Ankrd53,0.034142777,3.487222,3.4975
Hoxc10,0.034172674,4.002963,4.01325
Oxsr1,0.034172674,7.977963,7.98825
Nmnat2,0.034235791,5.129444,5.13975
Mcoln2,0.0343886,3.878148,3.8885
Dbn1,0.034418497,3.933889,3.94425
Fam169a,0.034448394,4.24463,4.255
Dnalc4,0.034481614,8.47537,8.48575
Olfr1141,0.034511511,4.026111,4.0365
Olfr9,0.034571306,3.977593,3.988
Chchd2,0.034680929,13.91481,13.92525
Prodh2,0.034747368,13.61704,13.6275
Gm5535,0.034943362,5.136481,5.147
Olfr17,0.034973259,3.432222,3.44275
Cldn19,0.035003156,4.207963,4.2185
Eno3,0.035003156,5.537963,5.5485
Rab9b,0.035003156,6.507963,6.5185
Defb12,0.035248979,3.813889,3.8245
Col4a6,0.035312096,4.39037,4.401
Kcnc2,0.035435007,3.643333,3.654
Lman1l,0.035435007,3.548333,3.559
Gm7534,0.035494802,3.989815,4.0005
Olfr873,0.035494802,5.059815,5.0705
Csmd3,0.03564761,2.988519,2.99925
Mtcp1,0.03564761,5.308519,5.31925
Olfr135,0.035803741,4.982222,4.993
Hemt1,0.035926652,3.470185,3.481
Arsa,0.035986447,6.411667,6.4225
Plekha8,0.036079461,7.348889,7.35975
Gosr1,0.036175797,10.50111,10.512
Elmo3,0.036325284,7.984815,7.99575
Kbtbd13,0.036418298,2.917037,2.928
Arpc1b,0.036441551,11.67778,11.68875
Dhx32,0.036441551,10.44278,10.45375
Amh,0.036511312,3.104259,3.11525
Ankrd54,0.036571106,6.990741,7.00175
Commd8,0.036574428,10.07074,10.08175
Prkcg,0.036757134,4.715185,4.72625
Gm10488,0.036850148,4.492407,4.5035
Hspd1,0.03693984,14.67963,14.69075
Oard1,0.03693984,9.27963,9.29075
Erp44,0.03697306,12.25037,12.2615
Fchsd2,0.037002957,9.816111,9.82725
Klk1b7.ps,0.037062752,3.077593,3.08875
Olfr599,0.037125868,4.494074,4.50525
Bag1,0.037172375,10.01981,10.031
Gm17728,0.037185663,5.160556,5.17175
Gpr137b.ps,0.037218882,5.381296,5.3925
Padi6,0.037464705,3.957222,3.9685
Col4a4,0.0375245,4.988704,5
Olfr748,0.037557719,3.424444,3.43575
Gm14496,0.037647411,4.086667,4.098
Hmga1.rs1,0.03768063,7.437407,7.44875
Gm21915,0.037803542,5.86537,5.87675
Phxr2,0.037803542,4.16037,4.17175
Mars2,0.037863336,5.066852,5.07825
Ghrh,0.037926453,5.468333,5.47975
Ier5,0.037926453,5.838333,5.84975
Gcnt7,0.038049364,4.836296,4.84775
Ifna4,0.038079262,4.102037,4.1135
Chrna10,0.038295187,3.227222,3.23875
Gm11569,0.038325084,5.422963,5.4345
Ncstn,0.038401489,10.08944,10.101
Cldn4,0.038570907,4.153889,4.1655
Krt71,0.038634024,4.38037,4.392
Flcn,0.038723716,9.267593,9.27925
Ppm1l,0.038786832,5.249074,5.26075
Gm20777,0.03881673,4.554815,4.5665
Map3k6,0.038879846,3.926296,3.938
Il12a,0.038939641,5.557778,5.5695
Arid5a,0.038969538,3.593519,3.60525
Nefm,0.038969538,3.333519,3.34525
Olfr448,0.039062552,3.470741,3.4825
Fam188a,0.039095772,7.391481,7.40325
Loxl2,0.039095772,3.841481,3.85325
Lce1a1,0.039218683,4.994444,5.00625
Neurl1b,0.039308375,3.266667,3.2785
Gmcl1l,0.039371492,3.448148,3.46
Lcn11,0.039431286,4.43463,4.4465
Prpf3,0.039431286,6.64463,6.6565
Dxo,0.039464506,6.50537,6.51725
Krtap4.8,0.039464506,6.58037,6.59225
Clec7a,0.039494403,8.236111,8.248
Igf2bp1,0.039494403,4.196111,4.208
Pramef12,0.039587417,3.148333,3.16025
Lplunc1,0.039740226,3.452037,3.464
LOC100041897,0.039863137,5.65,5.662
Lmbr1,0.039893034,6.640741,6.65275
Psd2,0.039926254,5.196481,5.2085
Myt1l,0.039956151,2.952222,2.96425
Gm10308,0.040049165,4.544444,4.5565
Gm7873,0.040049165,3.869444,3.8815
Pcdhb5,0.040138857,3.456667,3.46875
Olfr179,0.040172076,3.852407,3.8645
Olfr1535,0.040261769,5.05963,5.07175
Gm21425,0.04038468,4.392593,4.40475
Klhl32,0.04038468,3.612593,3.62475
LOC665276,0.04038468,4.392593,4.40475
Gm5893,0.040477694,4.489815,4.502
Mageb1,0.040756736,5.691481,5.70375
BC030336,0.041062353,9.318889,9.33125
